"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Min_Playing.Time_Generales","Min_percent_Playing.Time_Generales","onxG_Team.Success..xG._Generales","onG_Team.Success_Generales","onxGA_Team.Success..xG_Generales","Compl_Starts_Generales","MP_Playing.Time_Generales","Mins_Per_90_Porteria","Att (GK)_Passes_Porteria","#OPA_per_90_Sweeper_Porteria","Stp_crosses_compose_index_Porteria","Save_compose_index_Porteria","PSxG_compose_index_Porteria","Launched_compose_index_Porteria","Save_penalty_compose_index_Porteria"
"2018","Alavés","La Liga","Fernando Pacheco","ESP","GK",25,3358,98.2,38.5,40,55.4,37,38,37.3,698,0.51,16.8281003657023,385.547336313328,0.024390243902439,279.366018690769,53.2332750561238
"2018","Amiens","Ligue 1","Régis Gurtner","FRA","GK",30,3330,97.4,32.2,37,53.6,37,37,37,894,0.68,31.6227624945742,403.563566982175,0.161554192229039,246.646694502294,0
"2018","Angers","Ligue 1","Alexandre Letellier","FRA","GK",26,1170,34.2,17.1,16,15.8,13,13,13,232,0.38,10.9965281219429,250.859058075864,-0.118881118881119,236.968986665264,0
"2018","Angers","Ligue 1","Ludovic Butelle","FRA","GK",34,1652,48.3,24.8,21,20.2,18,19,18.4,390,1.36,47.6885260225242,305.279078981462,-0.0204081632653061,162.797805678765,0
"2018","Angers","Ligue 1","Mathieu Michel","FRA","GK",25,598,17.5,5.8,5,9.7,6,7,6.6,128,0.15,23.7884970882176,190.16978716845,-0.348314606741573,176.738061753795,0
"2018","Arsenal","Premier League","Petr Čech","CZE","GK",35,3039,88.9,60.3,64,43.1,33,34,33.8,809,1.54,46.6372369018604,334.551797718625,-0.0457516339869281,217.018026728305,32.4966994892237
"2018","Atalanta","Serie A","Etrit Berisha","ALB","GK",28,2790,81.6,51.6,46,29.6,31,31,31,609,0.81,26.9277132630924,307.164851405406,-0.021021021021021,267.44107312747,54.9306144334055
"2018","Atalanta","Serie A","Pierluigi Gollini","ITA","GK",22,622,18.2,11.6,11,6.7,6,7,6.9,145,0.72,9.92389091433707,221.113439479057,0.285714285714286,170.29860427086,0
"2018","Athletic Club","La Liga","Iago Herrerín","ESP","GK",29,720,21.1,11.2,10,10,8,8,8,223,1.13,22.4259076867253,297.726690628862,0.294117647058824,239.857449284705,46.1636022252924
"2018","Athletic Club","La Liga","Kepa Arrizabalaga","ESP","GK",22,2700,78.9,38.5,31,40.3,30,30,30,843,0.73,34.692202425276,339.970681974723,0.0783410138248848,319.580965649711,92.4658338866967
"2018","Atlético Madrid","La Liga","Jan Oblak","SVN","GK",24,3330,97.4,47.6,57,35.2,37,37,37,632,0.35,29.5266537104112,403.520784302001,0.357798165137615,213.670108535625,120.707843432558
"2018","Augsburg","Bundesliga","Marwin Hitz","SUI","GK",29,2880,94.1,43.8,41,38.4,32,32,32,881,0.53,40.1876961779492,376.57789709035,0,301.874112472768,54.9306144334055
"2018","Barcelona","La Liga","Marc-André ter Stegen","GER","GK",25,3330,97.4,80.7,94,41,37,37,37,1040,1.11,22.2143821482942,384.628454664812,0.228650137741047,242.541219328154,0
