"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Alavés","La Liga","team",30,38,105,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,38,84,4,2,545,566,59,805,422,462,7,3,0,2052,602,608,49.8,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,38,72,5,2,504,459,69,590,523,445,4,4,0,2214,637,725,46.8,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,38,55,2,1,484,479,72,845,470,457,4,4,1,2351,725,637,53.2,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,38,68,3,2,492,436,59,653,410,427,3,7,4,2051,592,654,47.5,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,38,83,7,3,463,462,71,687,436,469,5,4,1,2205,654,592,52.5,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,38,NA,NA,0,383,377,89,572,427,425,5,6,0,2148,630,660,48.8,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,38,52,4,1,391,362,78,666,584,347,5,5,1,2086,660,630,51.2,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,38,NA,NA,3,490,465,79,751,476,488,9,2,0,2469,563,519,52,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,38,81,5,4,501,452,57,632,589,484,0,9,0,2287,519,563,48,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Athletic Club","La Liga","team",26,38,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Athletic Club","La Liga","opponent",26,38,106,8,6,513,509,96,644,422,449,6,8,2,2135,609,715,46,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Atlético Madrid","La Liga","team",26,38,93,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Atlético Madrid","La Liga","opponent",26,38,98,0,0,507,517,24,694,488,494,4,5,1,2187,539,554,49.3,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Augsburg","Bundesliga","team",27,34,NA,NA,1,490,411,70,757,400,543,4,3,0,1616,700,774,47.5,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Augsburg","Bundesliga","opponent",27,34,51,2,1,428,461,39,582,342,427,3,4,2,1512,774,700,52.5,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Barcelona","La Liga","team",25,38,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Barcelona","La Liga","opponent",25,38,99,4,1,547,369,99,534,618,517,1,5,3,2055,286,343,45.5,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Bayern Munich","Bundesliga","team",28,34,NA,NA,0,366,413,67,893,355,467,7,4,3,1687,518,448,53.6,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
2018,"Bayern Munich","Bundesliga","opponent",28,34,49,2,0,424,347,51,347,411,472,3,8,2,1334,448,518,46.4,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
2018,"Benevento","Serie A","team",41,38,NA,NA,4,486,465,83,661,449,409,2,13,2,1892,410,501,45,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
